Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:13,0:17,,
Swimming,FC,Control,FNW,Yes,Yes,0:17,0:18,,
Swimming,FC,Control,CW,No,Yes,0:18,0:19,,
Swimming,FC,Control,FCC,Yes,Yes,0:19,0:25,,
Swimming,FC,Control,CW,Yes,Yes,0:25,0:26,,
Swimming,BC,Control,CW,Yes,Yes,0:26,0:27,,
Swimming,BC,Control,BCC,Yes,Yes,0:27,0:30,,
Swimming,BC,Control,BNW,Yes,Yes,0:30,0:31,,
Swimming,BC,Control,BCC,Yes,Yes,0:31,0:46,,
Swimming,BC,Control,BNW,Yes,Yes,0:46,0:49,,
Swimming,BC,Control,BCC,Yes,Yes,0:49,1:13,,
Swimming,BC,Control,CW,Yes,Yes,1:13,1:26,,
Swimming,BC,Control,BCC,Yes,Yes,1:26,1:45,,
Swimming,BC,Control,BNW,Yes,Yes,1:45,1:48,,
Swimming,BC,Control,SW,No,Yes,1:48,1:49,,
Swimming,FS,Stimulus,FSC,No,Yes,1:49,1:52,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:52,1:58,,
Swimming,FC,Control,FNW,Yes,Yes,1:58,2:04,,
Swimming,FC,Control,FCC,Yes,Yes,2:04,2:08,,
Swimming,FC,Control,CW,Yes,Yes,2:08,2:09,,
Swimming,BC,Control,CW,Yes,Yes,2:09,2:13,,
Swimming,BC,Control,BCC,Yes,Yes,2:13,2:48,,
Swimming,BC,Control,CW,Yes,Yes,2:48,2:58,,
Swimming,BC,Control,BCC,Yes,Yes,2:58,3:05,,
Swimming,BC,Control,CW,Yes,Yes,3:05,3:15,,
Swimming,FC,Control,CW,Yes,Yes,3:15,3:19,,
Swimming,BC,Control,CW,Yes,Yes,3:19,3:21,,
Swimming,BC,Control,BCC,Yes,Yes,3:21,3:28,,
Swimming,BC,Control,CW,Yes,Yes,3:28,3:39,,
Swimming,FC,Control,CW,Yes,Yes,3:39,3:55,,
Swimming,FC,Control,FNW,Yes,Yes,3:55,4:02,,
Swimming,FC,Control,CW,Yes,Yes,4:02,4:04,,
Swimming,BC,Control,CW,Yes,Yes,4:04,4:06,,
Swimming,BC,Control,BCC,Yes,Yes,4:06,4:10,,
Swimming,BC,Control,BNW,Yes,Yes,4:10,4:14,,
Swimming,BC,Control,BCC,Yes,Yes,4:14,4:20,,
Swimming,BC,Control,CW,Yes,Yes,4:20,4:24,,
Swimming,FC,Control,CW,Yes,Yes,4:24,4:37,,
Swimming,FC,Control,FCC,Yes,Yes,4:37,4:47,,
Swimming,FC,Control,CW,Yes,Yes,4:47,4:52,,
Swimming,FC,Control,FCC,Yes,Yes,4:52,4:54,,
Swimming,FC,Control,FNW,Yes,Yes,4:54,5:03,,
Swimming,FC,Control,FCC,Yes,Yes,5:03,5:08,,
Swimming,FC,Control,CW,Yes,Yes,5:08,5:12,,
Swimming,BC,Control,CW,Yes,Yes,5:12,5:13,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
