Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,Yes,No,0:20,0:24,,
Swimming,FC,Control,FCC,Yes,No,0:24,0:28,,
Swimming,FC,Control,FNW,Yes,No,0:28,0:31,,
Swimming,FC,Control,FCC,Yes,No,0:31,0:33,,
Swimming,FC,Control,FNW,Yes,No,0:33,0:39,,
Swimming,FC,Control,FCC,Yes,No,0:39,0:49,,
Swimming,FC,Control,FNW,Yes,No,0:49,0:52,,
Sitting,FC,Control,FNW,Yes,Yes,0:52,1:09,,
Swimming,FC,Control,FNW,Yes,No,1:09,1:11,,
Swimming,FC,Control,FCC,Yes,No,1:11,1:14,,
Swimming,FC,Control,FNW,Yes,No,1:14,1:35,,
Swimming,FS,Stimulus,FNW,Yes,No,1:35,1:37,,
Swimming,FS,Stimulus,SW,No,No,1:37,1:41,,
Swimming,FS,Stimulus,FSC,Yes,No,1:41,1:44,,
Swimming,FS,Stimulus,FNW,Yes,No,1:44,1:46,,
Swimming,FS,Stimulus,FSC,Yes,No,1:46,1:50,,
Swimming,FS,Stimulus,FNW,Yes,No,1:50,1:53,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:53,2:11,,
Swimming,FS,Stimulus,FSC,Yes,No,2:11,2:17,,
Swimming,FS,Stimulus,FNW,Yes,No,2:17,2:18,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:18,2:19,,
Sitting,FS,Stimulus,FNW,Yes,Yes,2:19,5:12,,
Swimming,FS,Stimulus,FNW,Yes,No,5:12,5:20,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
