Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FS,Stimulus,FSC,Yes,No,0:13,0:22,,
Swimming,FS,Stimulus,FNW,Yes,No,0:22,0:30,,
Swimming,FS,Stimulus,FSC,Yes,No,0:30,0:39,,
Swimming,FS,Stimulus,FNW,Yes,No,0:39,0:43,,
Sitting,FS,Stimulus,FNW,Yes,No,0:43,0:47,,
Swimming,FS,Stimulus,FNW,Yes,No,0:47,0:56,,
Swimming,FS,Stimulus,FSC,Yes,No,0:56,0:58,,
Swimming,FS,Stimulus,FNW,Yes,No,0:58,1:11,,
Swimming,FS,Stimulus,FSC,Yes,No,1:11,1:35,,
Swimming,FS,Stimulus,FNW,Yes,No,1:35,1:38,,
Sitting,FS,Stimulus,FNW,Yes,No,1:38,1:41,,
Swimming,FS,Stimulus,FSC,Yes,No,1:41,1:44,,
Swimming,FS,Stimulus,FNW,Yes,No,1:44,1:47,,
Swimming,FS,Stimulus,FSC,Yes,No,1:47,1:57,,
Swimming,FS,Stimulus,FNW,Yes,No,1:57,2:03,,
Swimming,FS,Stimulus,FSC,Yes,No,2:03,2:09,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:09,2:22,,
Swimming,FS,Stimulus,FSC,Yes,No,2:22,2:27,,
Swimming,FS,Stimulus,FNW,Yes,No,2:27,2:29,,
Swimming,FS,Stimulus,FSC,Yes,No,2:29,2:34,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:34,2:39,,
Swimming,FS,Stimulus,FSC,Yes,No,2:39,2:47,,
Swimming,FS,Stimulus,FNW,Yes,No,2:47,2:49,,
Swimming,FS,Stimulus,FSC,Yes,No,2:49,2:51,,
Swimming,FS,Stimulus,FNW,Yes,No,2:51,2:55,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:55,3:03,,
Swimming,FS,Stimulus,FSC,Yes,No,3:03,3:08,,
Sitting,FS,Stimulus,FSC,Yes,Yes,3:08,3:12,,
Swimming,FS,Stimulus,FSC,Yes,No,3:12,3:18,,
Swimming,FS,Stimulus,FNW,Yes,No,3:18,3:20,,
Sitting,FS,Stimulus,FNW,Yes,Yes,3:20,3:31,,
Swimming,FS,Stimulus,FNW,Yes,No,3:31,3:32,,
Swimming,FS,Stimulus,FSC,Yes,No,3:32,3:50,,
Swimming,FS,Stimulus,FNW,Yes,No,3:50,3:53,,
Swimming,FS,Stimulus,FSC,Yes,No,3:53,3:55,,
Sitting,FS,Stimulus,FSC,Yes,Yes,3:55,4:00,,
Swimming,FS,Stimulus,FSC,Yes,No,4:00,4:05,,
Sitting,FS,Stimulus,FSC,Yes,Yes,4:05,4:10,,
Swimming,FS,Stimulus,FSC,Yes,Yes,4:10,4:11,,
Swimming,FS,Stimulus,FSC,Yes,No,4:11,4:23,,
Sitting,FS,Stimulus,FSC,Yes,Yes,4:23,4:32,,
Swimming,FS,Stimulus,FSC,Yes,No,4:32,4:43,,
Sitting,FS,Stimulus,FSC,Yes,Yes,4:43,4:48,,
Swimming,FS,Stimulus,FSC,Yes,No,4:48,4:54,,
Sitting,FS,Stimulus,FNW,Yes,Yes,4:54,5:03,,
Swimming,FS,Stimulus,FSC,Yes,No,5:03,5:06,,
Sitting,FS,Stimulus,SW,Yes,No,5:06,5:08,,
Swimming,FS,Stimulus,FSC,Yes,No,5:08,5:09,,
Sitting,FS,Stimulus,FSC,Yes,No,5:09,5:13,,
,,,,,,,,,
,,,,,,,,,
