Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,No,No,0:13,0:14,,
Swimming,FC,Control,FNW,Yes,No,0:14,0:16,,
Swimming,FC,Control,FCC,Yes,No,0:16,0:33,,
Swimming,FC,Control,FNW,Yes,No,0:33,0:36,,
Sitting,FC,Control,FNW,Yes,No,0:36,0:38,,
Swimming,FC,Control,FNW,Yes,No,0:38,0:40,,
Swimming,FC,Control,FCC,Yes,No,0:40,0:48,,
Swimming,FC,Control,FNW,Yes,No,0:48,0:50,,
Sitting,FC,Control,FNW,Yes,No,0:50,0:56,,
Sitting,FC,Control,FNW,Yes,Yes,0:56,0:59,,
Swimming,FC,Control,FNW,Yes,No,0:59,1:02,,
Swimming,FC,Control,FCC,Yes,No,1:02,1:05,,
Swimming,FC,Control,FNW,Yes,No,1:05,1:11,,
Swimming,FC,Control,FCC,Yes,No,1:11,1:20,,
Swimming,FC,Control,FNW,Yes,No,1:20,1:22,,
Sitting,FC,Control,FNW,Yes,Yes,1:22,1:40,,
Swimming,FC,Control,FNW,Yes,No,1:40,1:46,,
Swimming,FS,Stimulus,FNW,Yes,No,1:46,1:51,,
Swimming,FS,Stimulus,FSC,Yes,No,1:51,1:53,,
Swimming,FS,Stimulus,FNW,Yes,No,1:53,1:59,,
Swimming,FS,Stimulus,FSC,Yes,No,1:59,2:08,,
Swimming,FS,Stimulus,FNW,Yes,No,2:08,2:09,,
Swimming,FS,Stimulus,FSC,Yes,No,2:09,2:18,,
Swimming,FS,Stimulus,FNW,Yes,No,2:18,2:21,,
Swimming,FS,Stimulus,FSC,Yes,No,2:21,2:23,,
Swimming,FS,Stimulus,FNW,Yes,No,2:23,2:33,,
Swimming,FC,Control,FNW,Yes,No,2:33,2:35,,
Sitting,FC,Control,FCC,No,Yes,2:35,3:04,,
Swimming,FC,Control,CW,No,No,3:04,3:07,,
Swimming,FC,Control,FCC,Yes,No,3:07,3:11,,
Swimming,FC,Control,FNW,Yes,No,3:11,3:18,,
Swimming,FC,Control,FCC,Yes,No,3:18,3:22,,
Swimming,FC,Control,CW,Yes,No,3:22,3:25,,
Sitting,FC,Control,CW,Yes,No,3:25,3:26,,
Sitting,FC,Control,CW,Yes,Yes,3:26,3:32,,
Swimming,FC,Control,BNW,No,No,3:32,3:34,,
Swimming,FC,Control,CW,Yes,No,3:34,3:37,,
Swimming,FC,Control,FCC,Yes,No,3:37,3:44,,
Swimming,FC,Control,FNW,Yes,No,3:44,3:47,,
Swimming,FC,Control,FCC,Yes,No,3:47,3:50,,
Swimming,FC,Control,FNW,Yes,No,3:50,3:51,,
Swimming,FC,Control,FCC,Yes,No,3:51,3:55,,
Swimming,FC,Control,FNW,Yes,No,3:55,4:00,,
Swimming,FC,Control,FCC,Yes,No,4:00,4:04,,
Swimming,FC,Control,FNW,Yes,Yes,4:04,4:06,,
Sitting,FC,Control,FNW,Yes,Yes,4:06,4:14,,
Swimming,FC,Control,FNW,Yes,No,4:14,4:17,,
Swimming,FS,Stimulus,FNW,Yes,No,4:17,4:22,,
Swimming,FC,Control,FNW,Yes,No,4:22,4:30,,
Swimming,FC,Control,FCC,Yes,No,4:30,4:31,,
Swimming,FC,Control,FNW,Yes,No,4:31,4:36,,
Swimming,FC,Control,FNW,Yes,Yes,4:36,4:38,,
Sitting,FC,Control,FNW,Yes,Yes,4:38,4:40,,
Swimming,FC,Control,FNW,Yes,No,4:40,5:02,,
Swimming,FS,Stimulus,FNW,Yes,No,5:02,5:08,,
Swimming,FC,Control,FNW,Yes,No,5:08,5:13,,
