Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BS,Stimulus,BSC,No,No,0:52,0:56,,
Swimming,BS,Stimulus,BSC,Yes,No,0:56,0:58,,
Swimming,BS,Stimulus,BNW,Yes,No,0:58,1:01,,
Swimming,BS,Stimulus,BSC,Yes,No,1:01,1:08,,
Swimming,BS,Stimulus,BSC,Yes,Yes,1:08,1:13,,
Swimming,BS,Stimulus,BSC,Yes,No,1:13,1:16,,
Swimming,BS,Stimulus,SW,Yes,No,1:16,1:18,,
Swimming,FS,Stimulus,SW,Yes,No,1:18,1:21,,
Swimming,FS,Stimulus,FNW,Yes,No,1:21,1:28,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:28,1:58,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:58,2:06,,
Swimming,FS,Stimulus,FNW,Yes,No,2:06,2:10,,
Swimming,FS,Stimulus,SW,Yes,No,2:10,2:12,,
Swimming,BS,Stimulus,SW,Yes,No,2:12,2:16,,
Swimming,FS,Stimulus,SW,Yes,No,2:16,2:17,,
Swimming,FS,Stimulus,FSC,Yes,No,2:17,2:20,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:20,2:22,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:22,2:27,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:27,2:33,,
Swimming,FS,Stimulus,FNW,Yes,No,2:33,2:34,,
Swimming,FS,Stimulus,FSC,Yes,No,2:34,2:38,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:38,2:43,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:43,2:48,,
Swimming,FS,Stimulus,FNW,Yes,No,2:48,2:52,,
Swimming,FC,Control,FNW,Yes,No,2:52,2:53,,
Swimming,FC,Control,FNW,Yes,Yes,2:53,3:00,,
Swimming,FC,Control,FNW,Yes,Yes,0:00,0:01,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:01,0:04,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:04,0:06,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:06,0:09,,
Swimming,FS,Stimulus,FNW,Yes,No,0:09,0:13,,
Swimming,FS,Stimulus,FSC,Yes,No,0:13,0:15,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:15,0:19,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:19,0:22,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:22,0:26,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:26,0:29,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:29,0:30,,
Swimming,FS,Stimulus,FSC,Yes,No,0:30,0:31,,
Swimming,FS,Stimulus,SW,Yes,No,0:31,0:34,,
Swimming,BS,Stimulus,SW,Yes,No,0:34,0:36,,
Swimming,BS,Stimulus,BSC,Yes,No,0:36,0:37,,
Swimming,BS,Stimulus,SW,Yes,No,0:37,0:39,,
Swimming,FS,Stimulus,SW,Yes,No,0:39,0:40,,
Swimming,FS,Stimulus,FSC,Yes,No,0:40,0:42,,
Swimming,FS,Stimulus,FNW,Yes,No,0:42,0:43,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:43,0:49,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:49,0:51,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:51,0:56,,
Swimming,FS,Stimulus,FNW,Yes,No,0:56,0:59,,
Swimming,FC,Control,FNW,Yes,No,0:59,1:02,,
Swimming,FC,Control,FNW,Yes,Yes,1:02,1:11,,
Swimming,FC,Control,FNW,Yes,No,1:11,1:14,,
Swimming,FS,Stimulus,FNW,Yes,No,1:14,1:16,,
Swimming,FS,Stimulus,FSC,Yes,No,1:16,1:18,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:18,1:23,,
Swimming,FS,Stimulus,FNW,Yes,No,1:23,1:24,,
Swimming,FS,Stimulus,FSC,Yes,No,1:24,1:26,,
Swimming,FS,Stimulus,SW,Yes,No,1:26,1:28,,
Swimming,BS,Stimulus,SW,Yes,No,1:28,1:31,,
Swimming,FS,Stimulus,SW,Yes,No,1:31,1:32,,
Swimming,FS,Stimulus,FSC,Yes,No,1:32,1:34,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:34,1:39,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:39,1:41,,
Swimming,FS,Stimulus,FNW,Yes,No,1:41,1:45,,
Swimming,FC,Control,FNW,Yes,No,1:45,1:48,,
Swimming,FS,Stimulus,FNW,Yes,No,1:48,1:50,,
Swimming,FS,Stimulus,FSC,Yes,No,1:50,1:52,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:52,1:56,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:56,1:58,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:58,1:59,,
Swimming,FS,Stimulus,FNW,Yes,No,1:59,2:00,,
Swimming,FS,Stimulus,FSC,Yes,No,2:00,2:01,,
Swimming,FS,Stimulus,SW,Yes,No,2:01,2:03,,
Swimming,BS,Stimulus,SW,Yes,No,2:03,2:04,,
Swimming,BS,Stimulus,BSC,Yes,No,2:04,2:06,,
Swimming,BS,Stimulus,SW,Yes,No,2:06,2:08,,
Swimming,FS,Stimulus,SW,Yes,No,2:08,2:09,,
Swimming,FS,Stimulus,FSC,Yes,No,2:09,2:10,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:10,2:15,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:15,2:19,,
Swimming,FS,Stimulus,FNW,Yes,No,2:19,2:21,,
Swimming,FS,Stimulus,FSC,Yes,No,2:21,2:22,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:22,2:25,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:25,2:26,,
Swimming,FS,Stimulus,FSC,Yes,No,2:26,2:39,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:39,2:42,,
Swimming,FS,Stimulus,FSC,Yes,No,2:42,2:43,,
Swimming,FS,Stimulus,SW,Yes,No,2:43,2:45,,
Swimming,FS,Stimulus,FSC,Yes,No,2:45,2:48,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:48,2:50,,
Swimming,FS,Stimulus,FSC,Yes,No,2:50,2:52,,
