Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Sitting,Center,Center,FNW,No,No,0:17,0:18,,
Swimming,FC,Control,FNW,No,No,0:18,0:22,,
Swimming,FC,Control,FCC,No,No,0:22,0:23,,
Swimming,FC,Control,CW,No,No,0:23,0:27,,
Swimming,FC,Control,BCC,No,No,0:27,0:31,,
Swimming,BC,Control,BNW,No,No,0:31,0:36,,
Swimming,BC,Control,SW,No,No,0:36,0:47,,
Swimming,BS,Stimulus,SW,No,No,0:47,0:50,,
Swimming,BS,Stimulus,BSC,No,No,0:50,0:55,,
Swimming,BS,Stimulus,BNW,Yes,No,0:55,1:05,,
Sitting,BS,Stimulus,BNW,Yes,Yes,1:05,1:09,,
Swimming,BS,Stimulus,BNW,Yes,No,1:09,1:13,,
Swimming,BS,Stimulus,CW,No,No,1:13,1:14,,
Swimming,BC,Control,CW,No,No,1:14,1:17,,
Swimming,BC,Control,CW,No,Yes,1:17,1:19,,
Sitting,BC,Control,CW,No,Yes,1:19,1:22,,
Swimming,BC,Control,CW,No,Yes,1:22,1:25,,
Swimming,BC,Control,CW,No,No,1:25,1:27,,
Swimming,BC,Control,CW,Yes,No,1:27,1:30,,
Swimming,BC,Control,BCC,Yes,No,1:30,1:43,,
Swimming,BC,Control,CW,Yes,No,1:43,1:48,,
Swimming,FC,Control,CW,Yes,No,1:48,1:50,,
Swimming,FC,Control,FCC,No,Yes,1:50,1:58,,
Swimming,FC,Control,FCC,No,No,1:58,1:59,,
Swimming,FC,Control,FCC,Yes,No,1:59,2:14,,
Swimming,FC,Control,CW,Yes,No,2:14,2:21,,
Swimming,BC,Control,BCC,No,No,2:21,2:23,,
Swimming,BC,Control,BCC,No,Yes,2:23,2:25,,
Sitting,BC,Control,BNW,No,Yes,2:25,2:51,,
Swimming,BC,Control,BNW,No,Yes,2:51,2:52,,
Sitting,BC,Control,BNW,Yes,Yes,2:52,3:00,,
Sitting,BC,Control,BNW,Yes,Yes,0:00,0:16,,
Swimming,BC,Control,BCC,Yes,No,0:16,0:30,,
Swimming,BC,Control,CW,Yes,No,0:30,0:36,,
Swimming,FC,Control,CW,Yes,No,0:36,0:41,,
Swimming,FC,Control,FCC,Yes,No,0:41,2:17,,
