Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,FC,Control,FNW,No,No,0:46,0:48,,
Sitting,FC,Control,FNW,No,No,0:48,0:51,,
Swimming,FC,Control,FNW,No,No,0:51,0:55,,
Swimming,FS,Stimulus,FSC,No,No,0:55,0:56,,
Swimming,FS,Stimulus,SW,No,No,0:56,1:03,,
Swimming,FS,Stimulus,FSC,Yes,No,1:03,1:09,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:09,1:19,,
Swimming,FS,Stimulus,FSC,Yes,No,1:19,1:27,,
Swimming,FS,Stimulus,FNW,Yes,No,1:27,1:36,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:36,1:38,,
Sitting,FS,Stimulus,FNW,Yes,Yes,1:38,1:48,,
Swimming,FS,Stimulus,FNW,Yes,Yes,1:48,1:49,,
Swimming,FS,Stimulus,FNW,Yes,No,1:49,1:53,,
Swimming,FS,Stimulus,FSC,Yes,No,1:53,1:54,,
Swimming,FS,Stimulus,FSC,Yes,Yes,1:54,2:00,,
Swimming,FS,Stimulus,FNW,Yes,No,2:00,2:01,,
Swimming,FS,Stimulus,FSC,Yes,No,2:01,2:02,,
Swimming,FS,Stimulus,FNW,Yes,No,2:02,2:04,,
Swimming,FS,Stimulus,FSC,Yes,No,2:04,2:08,,
Swimming,FS,Stimulus,FNW,Yes,No,2:08,2:10,,
Swimming,FS,Stimulus,FSC,Yes,No,2:10,2:15,,
Swimming,FS,Stimulus,FNW,Yes,No,2:15,2:17,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:17,2:21,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:21,2:23,,
Swimming,FS,Stimulus,FSC,Yes,Yes,2:23,2:24,,
Swimming,FS,Stimulus,FSC,Yes,No,2:24,2:27,,
Swimming,FS,Stimulus,FNW,Yes,No,2:27,2:30,,
Swimming,FC,Control,FNW,Yes,No,2:30,2:33,,
Sitting,FC,Control,FNW,Yes,Yes,2:33,2:34,,
Swimming,FC,Control,FNW,Yes,Yes,2:34,2:39,,
Sitting,FC,Control,FNW,Yes,Yes,2:39,2:43,,
Sitting,FC,Control,FCC,Yes,Yes,2:43,2:45,,
Swimming,FC,Control,FCC,Yes,Yes,2:45,2:47,,
Swimming,FC,Control,FNW,Yes,Yes,2:47,2:48,,
Swimming,FC,Control,FNW,Yes,No,2:48,2:52,,
Swimming,FS,Stimulus,FNW,Yes,No,2:52,2:55,,
Swimming,FS,Stimulus,FNW,Yes,Yes,2:55,2:58,,
Sitting,FS,Stimulus,FSC,Yes,Yes,2:58,3:00,,
Sitting,FS,Stimulus,FSC,Yes,Yes,0:00,0:02,,
Swimming,FS,Stimulus,FSC,Yes,No,0:02,0:04,,
Swimming,FS,Stimulus,FNW,Yes,No,0:04,0:05,,
Swimming,FS,Stimulus,FSC,Yes,No,0:05,0:09,,
Swimming,FS,Stimulus,FNW,Yes,No,0:09,0:10,,
Swimming,FS,Stimulus,FSC,Yes,No,0:10,0:15,,
Swimming,FS,Stimulus,FSC,Yes,Yes,0:15,0:20,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:20,0:26,,
Swimming,FS,Stimulus,FNW,Yes,No,0:26,0:28,,
Swimming,FC,Control,FNW,Yes,No,0:28,0:31,,
Swimming,FC,Control,FCC,Yes,No,0:31,0:32,,
Swimming,FC,Control,FNW,Yes,Yes,0:32,0:44,,
Sitting,FC,Control,FNW,Yes,Yes,0:44,0:47,,
Swimming,FC,Control,FNW,Yes,No,0:47,0:51,,
Swimming,FC,Control,FNW,Yes,Yes,0:51,0:53,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:53,0:56,,
Sitting,FS,Stimulus,FNW,Yes,Yes,0:56,0:58,,
Swimming,FS,Stimulus,FNW,Yes,Yes,0:58,1:01,,
Swimming,FS,Stimulus,FNW,Yes,No,1:01,1:03,,
