Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,
Sitting,Center,Center,FNW,No,No,0:17,1:37,
Swimming,Center,Center,FNW,No,No,1:37,1:40,*Pivot
Sitting,Center,Center,FNW,No,No,1:40,1:44,
Sitting,Center,Center,FNW,No,Yes,1:44,2:01,
Swimming,FC,Control,FNW,No,Yes,2:01,2:04,
Swimming,FC,Control,FCC,No,No,2:04,2:09,
Swimming,FC,Control,CW,No,No,2:09,2:15,
Swimming,FC,Control,CW,Yes,No,2:15,2:25,
Sitting,FC,Control,FCC,Yes,No,2:25,2:28,
Sitting,FC,Control,FCC,Yes,Yes,2:28,2:47,
Swimming,FC,Control,FCC,Yes,No,2:47,2:51,
Swimming,FC,Control,FNW,Yes,No,2:51,2:58,
Swimming,FC,Control,FCC,Yes,No,2:58,3:00,
Swimming,FC,Control,FCC,Yes,No,0:00,1:16,
Sitting,FC,Control,FCC,Yes,Yes,1:16,2:09,
Sitting,FC,Control,FCC,Yes,No,2:09,2:17,
