Behavior,Quadrant,Side,Wall_Corner_Facing,Touching_Wall,Head_Up,Start_Time,End_Time,,
Swimming,BC,Control,BNW,No,No,0:20,0:21,,
Swimming,BC,Control,BCC,No,No,0:21,0:22,,
Swimming,BC,Control,CW,Yes,No,0:22,0:25,,
Swimming,FC,Control,CW,Yes,No,0:25,0:30,,
Swimming,FC,Control,FCC,Yes,Yes,0:30,0:32,,
Sitting,FC,Control,FCC,Yes,Yes,0:32,0:46,,
Swimming,FC,Control,FCC,Yes,No,0:46,0:54,,
Swimming,FC,Control,FNW,Yes,No,0:54,1:00,,
Swimming,FC,Control,FCC,Yes,No,1:00,1:04,,
Sitting,FC,Control,FNW,Yes,Yes,1:04,1:13,,
Swimming,FC,Control,FNW,Yes,Yes,1:13,1:14,,
Swimming,FC,Control,FNW,Yes,No,1:14,1:22,,
Swimming,FC,Control,FCC,Yes,No,1:22,1:28,,
Sitting,FC,Control,FCC,Yes,Yes,1:28,1:36,,
Swimming,FC,Control,FCC,Yes,No,1:36,1:40,,
Swimming,FC,Control,FNW,Yes,No,1:40,1:43,,
Swimming,FC,Control,FCC,Yes,No,1:43,1:47,,
Sitting,FC,Control,FCC,Yes,Yes,1:47,1:52,,
Swimming,FC,Control,FNW,Yes,Yes,1:52,1:55,,
Sitting,FC,Control,FNW,Yes,Yes,1:55,1:56,,
Swimming,FC,Control,FCC,Yes,No,1:56,1:58,,
Sitting,FC,Control,FCC,Yes,Yes,1:58,2:00,,
Swimming,FC,Control,FNW,Yes,Yes,2:00,2:03,,
Swimming,FC,Control,FNW,Yes,No,2:03,2:06,,
Swimming,FC,Control,FCC,Yes,No,2:06,2:07,,
Swimming,FC,Control,FCC,Yes,Yes,2:07,2:10,,
Swimming,FC,Control,FNW,Yes,Yes,2:10,2:14,,
Swimming,FC,Control,FNW,Yes,No,2:14,2:17,,
Swimming,FC,Control,FCC,Yes,No,2:17,2:18,,
Swimming,FC,Control,CW,Yes,Yes,2:18,2:22,,
Swimming,FC,Control,FCC,Yes,Yes,2:22,2:24,,
Swimming,FC,Control,FNW,Yes,No,2:24,2:27,,
Swimming,FC,Control,FCC,Yes,No,2:27,2:30,,
Swimming,FC,Control,CW,Yes,Yes,2:30,2:34,,
Swimming,FC,Control,CW,Yes,No,2:34,2:35,,
Swimming,FC,Control,FCC,Yes,No,2:35,2:38,,
Swimming,FC,Control,FCC,Yes,Yes,2:38,2:40,,
Swimming,FC,Control,CW,Yes,No,2:40,2:42,,
Swimming,BC,Control,CW,Yes,No,2:42,2:43,,
Swimming,BC,Control,BCC,Yes,No,2:43,2:45,,
Sitting,BC,Control,BCC,Yes,No,2:45,2:47,,
Swimming,BC,Control,CW,Yes,No,2:47,2:49,,
Swimming,FC,Control,CW,Yes,No,2:49,2:50,,
Swimming,FC,Control,FCC,Yes,No,2:50,2:52,,
Swimming,FC,Control,FCC,Yes,Yes,2:52,2:53,,
Sitting,FC,Control,FCC,Yes,Yes,2:53,2:55,,
Swimming,FC,Control,FCC,Yes,Yes,2:55,2:58,,
Swimming,FC,Control,FNW,Yes,Yes,2:58,2:59,,
Swimming,FC,Control,FNW,Yes,No,2:59,3:00,,
Swimming,FC,Control,FCC,Yes,No,0:00,0:01,,
Swimming,FC,Control,CW,Yes,No,0:01,0:03,,
Swimming,BC,Control,CW,Yes,No,0:03,0:04,,
Swimming,BC,Control,BCC,Yes,No,0:04,0:05,,
Swimming,BC,Control,CW,Yes,No,0:05,0:07,,
Swimming,FC,Control,CW,Yes,No,0:07,0:08,,
Swimming,FC,Control,FCC,Yes,No,0:08,0:09,,
Swimming,FC,Control,FCC,Yes,Yes,0:09,0:10,,
Sitting,FC,Control,FCC,Yes,Yes,0:10,0:11,,
Swimming,FC,Control,FCC,Yes,Yes,0:11,0:16,,
Swimming,FC,Control,FCC,Yes,No,0:16,0:18,,
Swimming,FC,Control,FCC,Yes,Yes,0:18,0:22,,
Swimming,FC,Control,CW,Yes,Yes,0:22,0:24,,
Swimming,FC,Control,CW,Yes,No,0:24,0:25,,
Swimming,BC,Control,CW,Yes,No,0:25,0:26,,
Swimming,BC,Control,BCC,Yes,No,0:26,0:27,,
Swimming,BC,Control,CW,Yes,No,0:27,0:28,,
Swimming,FC,Control,CW,Yes,No,0:28,0:29,,
Swimming,FC,Control,FCC,Yes,No,0:29,0:31,,
Swimming,FC,Control,FCC,Yes,Yes,0:31,0:33,,
Swimming,FC,Control,CW,Yes,Yes,0:33,0:36,,
Swimming,FC,Control,FCC,Yes,No,0:36,0:37,,
Swimming,FC,Control,CW,Yes,No,0:37,0:38,,
Swimming,BC,Control,CW,Yes,No,0:38,0:39,,
Swimming,BC,Control,BCC,Yes,No,0:39,0:40,,
Swimming,BC,Control,CW,Yes,No,0:40,0:41,,
Swimming,FC,Control,CW,Yes,No,0:41,0:42,,
Swimming,FC,Control,FCC,Yes,No,0:42,0:43,,
Swimming,FC,Control,FCC,Yes,Yes,0:43,0:44,,
Sitting,FC,Control,FCC,Yes,Yes,0:44,0:47,,
Swimming,FC,Control,FCC,Yes,Yes,0:47,0:48,,
Swimming,FC,Control,FCC,Yes,No,0:48,0:49,,
Swimming,FC,Control,CW,Yes,No,0:49,0:51,,
Swimming,BC,Control,CW,Yes,No,0:51,0:52,,
Swimming,BC,Control,BCC,Yes,No,0:52,0:53,,
Swimming,BC,Control,BCC,Yes,Yes,0:53,0:55,,
Sitting,BC,Control,BCC,Yes,Yes,0:55,1:30,,
Sitting,BC,Control,BCC,Yes,No,1:30,1:31,,
Swimming,BC,Control,CW,Yes,No,1:31,1:35,,
Swimming,FC,Control,CW,Yes,No,1:35,1:36,,
Swimming,FC,Control,FCC,Yes,No,1:36,1:42,,
Swimming,FC,Control,FCC,Yes,Yes,1:42,1:43,,
Sitting,FC,Control,FCC,Yes,Yes,1:43,1:45,,
Swimming,FC,Control,FNW,Yes,Yes,1:45,1:46,,
Sitting,FC,Control,FNW,Yes,Yes,1:46,1:48,,
Swimming,FC,Control,FNW,Yes,No,1:48,1:53,,
Swimming,FS,Stimulus,FNW,Yes,No,1:53,1:55,,
Swimming,FS,Stimulus,FSC,Yes,No,1:55,1:58,,
Sitting,FS,Stimulus,FSC,Yes,Yes,1:58,2:20,,
